stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url,location_type,parent_station,wheelchair_boarding
54083,54083,de l'Acadie / Arthur-Lismer,45.535148,-73.668893,http://m.stm.info/fr/horaires/arrets/54083/bus,0,,1
54085,54085,Jarry / Crémazie,45.558338,-73.614568,http://m.stm.info/fr/horaires/arrets/54085/bus,0,,1
54087,54087,Fleury / Verville,45.542874,-73.668242,http://m.stm.info/fr/horaires/arrets/54087/bus,0,,1
54088,54088,Station Sauvé (Édicule Sud),45.550251,-73.656433,http://m.stm.info/fr/horaires/arrets/54088/bus,0,,1
54089,54089,Fleury / Berri,45.552809,-73.662370,http://m.stm.info/fr/horaires/arrets/54089/bus,0,,1
54091,54091,Ontario / Préfontaine,45.540182,-73.547856,http://m.stm.info/fr/horaires/arrets/54091/bus,0,,1
54092,54092,Côte-Saint-Luc / Cumberland,45.471151,-73.648653,http://m.stm.info/fr/horaires/arrets/54092/bus,0,,1
54093,54093,Georges-Baril / Henri-Bourassa,45.560439,-73.666127,http://m.stm.info/fr/horaires/arrets/54093/bus,0,,1
54094,54094,20e Avenue / Everett,45.565996,-73.595105,http://m.stm.info/fr/horaires/arrets/54094/bus,0,,1
54095,54095,Station Jean-Talon Nord (Jean-Talon / Berri),45.539059,-73.614057,http://m.stm.info/fr/horaires/arrets/54095/bus,0,,1
54096,54096,Pierre-De Coubertin / Charlemagne,45.552606,-73.552421,http://m.stm.info/fr/horaires/arrets/54096/bus,0,,1
54097,54097,Charlemagne / Saint-Joseph,45.556104,-73.563935,http://m.stm.info/fr/horaires/arrets/54097/bus,0,,1
54098,54098,Pie-IX / Saint-Joseph,45.557215,-73.563154,http://m.stm.info/fr/horaires/arrets/54098/bus,0,,1
54099,54099,Saint-Joseph / 13e Avenue,45.551035,-73.567456,http://m.stm.info/fr/horaires/arrets/54099/bus,0,,1
54100,54100,Jolicoeur / Drake,45.457100,-73.582059,http://m.stm.info/fr/horaires/arrets/54100/bus,0,,1
54101,54101,Station Jolicoeur (Drake / Jolicoeur),45.456908,-73.582187,http://m.stm.info/fr/horaires/arrets/54101/bus,0,,1
54103,54103,du Centre / Wellington,45.485343,-73.557952,http://m.stm.info/fr/horaires/arrets/54103/bus,0,,1
54104,54104,Station Vendôme,45.473772,-73.603620,http://m.stm.info/fr/horaires/arrets/54104/bus,0,,1
54105,54105,Station Angrignon,45.446253,-73.603021,http://m.stm.info/fr/horaires/arrets/54105/bus,0,,1
54106,54106,Station Angrignon,45.446694,-73.603261,http://m.stm.info/fr/horaires/arrets/54106/bus,0,,1
54107,54107,Station Angrignon,45.446391,-73.604021,http://m.stm.info/fr/horaires/arrets/54107/bus,0,,1
54108,54108,Station Angrignon,45.446703,-73.604605,http://m.stm.info/fr/horaires/arrets/54108/bus,0,,1
54109,54109,Station Angrignon,45.446607,-73.604288,http://m.stm.info/fr/horaires/arrets/54109/bus,0,,1
54110,54110,Station Angrignon,45.446165,-73.604170,http://m.stm.info/fr/horaires/arrets/54110/bus,0,,1
54111,54111,Station Angrignon,45.446509,-73.604369,http://m.stm.info/fr/horaires/arrets/54111/bus,0,,1
54112,54112,Station Angrignon,45.445994,-73.604821,http://m.stm.info/fr/horaires/arrets/54112/bus,0,,2
54114,54114,Station Henri-Bourassa,45.555499,-73.667421,http://m.stm.info/fr/horaires/arrets/54114/bus,0,,1
54115,54115,Station Honoré-Beaugrand,45.597004,-73.534894,http://m.stm.info/fr/horaires/arrets/54115/bus,0,,1
59034,59034,Station Radisson,45.589666,-73.540216,http://m.stm.info/fr/horaires/arrets/59034/bus,0,,1
